vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs
1ftrx17l3yka18260,No,,,,,,,,[]
1FMCU0GX6DUA85991,Yes,Recall Incomplete,Transmission Shifter Cable Bushing,22S43/#22V413,10/06/22,"On Your Vehicle, It May Be Possible The Transmission Shifter Cable Bushing Is Damaged Or Missing.","A Damaged Or Missing Bushing Could Prevent The Shifter From Moving The Transmission Into The Intended Gear Position And Cause The Vehicle To Move In An Unexpected Direction.  The Transmission May Not Be In The Park Position, Even Though The Shifter Position Indicates That The Vehicle Was Shifted To Park. Exiting A Vehicle Without The Transmission In The Park Position And Without The Application Of The Parking Brake May Allow The Vehicle To Roll, Increasing The Risk Of Injury Or Crash.",Parts Are Now Available To Repair Your Vehicle. Ford Motor Company Has Authorized Your Dealer To Replace The Shifter Cable Bushing And Protective Cap Free Of Charge Parts And Labor.,"[{'description': 'EXTENDED WARRANTY COVERAGE FOR PCM REPROGRAMING IN THE EVENT OF ABS VEHICLE SPEED SIGNAL RELATED COMMUNICATION LOSS THAT DISABLES OBDII SYSTEM MONITORS', 'campaign': '14N02', 'date': '2014-08-26'}]"
1FMCU0GX6DUA85991,Yes,Recall Incomplete,Restraints Control Module Replacement,14S21/14V597,25/09/14,"Affected Vehicles Are Equipped With Restraint Control Modules Rcms That May Experience An Internal Electrical Short Circuit.  If A Short Circuit Occurs, The Airbag Warning Lamp Would Illuminate.  Depending On The Location Of The Short Circuit The Deployable Restraint Systems E.G. Air Bags. Pretensioners Side Curtains May Not Function As Intended In The Event Of A Crash Increasing The Risk Of Injury.  The Short May Also Affect The Function Of Other Systems That Use Internal Data From The Rcm E.G. Stability Control.  In These Cases The Corresponding Malfunction Indicator Lamps Would Also Be Illuminated. These Vehicles Are Not Produced In Vin Order.  Information As To The Applicability Of This Action To Specific Vehicles Can Best Be Obtained By Either Calling Fords Toll Free Line 1 866 436 7332 Or By Contacting A Local Ford Or Lincoln Dealer Who Can Obtain Specific Information Regarding The Vehicles From The Ford On Line Automotive Service Information System Oasis Database.","Depending On The Location Of The Short Circuit, The Deployable Restraint Systems And Other Systems That Use Inertial Data From The Rcm May Not Function As Intended, Increasing The Risk Of Injury. Ford Is Not Aware Of Any Accident Or Injury Related To This Condition.","Dealers Will Be Instructed To Replace The Rcm. There Will Be No Charge To Owners For This Service. An Initial Notification Letter Will Be Mailed To All Owners The Week Of November 10, 2014. Due To Limited Parts Availability, We Will Instruct Owners To Contact Their Dealer For Service If They Have An Illuminated Airbag Warning Indicator. Owners Who Have Not Already Had This Service Performed Will Be Mailed A Follow-Up Letter When Parts Are Available, Advising Them To Schedule A Service Appointment. In Accordance With Part 573.13(D)(1), Fords General Reimbursement Plan For The Cost Of Remedies Paid For By Vehicle Owners Prior To Notification Of A Safety Recall Was Provided To The Agency On February 20, 2013. The Ending Date For Reimbursement Eligibility For The Cost Of Remedies Paid For By Vehicle Owners Per Ford'S General Reimbursement Plan Is November 30, 2014. Ford Will Upload A Copy Of The Notification Letters To Dealers On Nhtsa'S Safercar.Gov Website When Available.","[{'description': 'EXTENDED WARRANTY COVERAGE FOR PCM REPROGRAMING IN THE EVENT OF ABS VEHICLE SPEED SIGNAL RELATED COMMUNICATION LOSS THAT DISABLES OBDII SYSTEM MONITORS', 'campaign': '14N02', 'date': '2014-08-26'}]"
1FTFW1ET6BFB36795,No,,,,,,,,"[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTFW1EF7BFB89967,No,,,,,,,,"[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FAFP4446XF169723,No,,,,,,,,[]
1FMZU73K13ZB25585,Yes,Recall Incomplete,Liftgate Glass Hinge And Ball Stud Bracket (If Applicable) Replacement,04S20/04V442000,13/09/04,"On Certain Sport Utility Vehicles, The Liftgate Glass Strut May Become Disengaged Or The Hinge May Fracture Allowing The Glass To Fall And Possibly Break.","If The Hinge Should Fracture, There Is A Potential For The Glass To Fall And Ultimately Break And Personal Injuries Could Occur.","Dealers Will Have The Liftgate Glass Strut Brackets And Glass Hinges Replaced.  For The Vehicles Built From August 1, 2000 Through March 3, 2002, The Dealers Will Replace The Hinges And Liftgate Strut Bracket.  On Vehicles Built From March 3, 2002 Through June 23, 2003, The Dealers Will Only Replace The Hinges.  The Recall Began On September 30, 2004.  A Postcard Was Sent To Owners On December 27, 2004, Advising Them That Parts Are Now Available.  Owners Should Contact Ford At 1-866-436-7332.",[]
1ZVHT82H295101534,No,,,,,,,,[]
1ftzr45e05pa45950,No,,,,,,,,[]
1FA6P8TD3L5135828,No,,,,,,,,[]
1FMDU34X0SZB01838,Yes,Recall Incomplete,Speed Control System Modification,09S09/09V399000,13/10/09,"Ford Is Recalling Model Years 1995-2003 Windstar, 2000-2003 Excursion Diesel, 1993-1997 And 1999-2003 F-250 Sd Through F-550 Sd Diesel, 1992-2003 E-150 Through E-550, 1995-2002 Explorer, 1997 And 2002 Mercury Mountaineer, 1995-1997 And 2001-2003 Ranger, And 1994 F53 Vehicles Equipped With The Texas Instruments Speed Control Deactivation Switch (Scds).  The Scds May Leak Internally And Then Overheat, Smoke, Or Burn.",A Vehicle Fire Could Occur With Or Without The Engine Running.,"Ford Will Notify Owners That Dealers Will Install A Fused Wiring Harness In Line With The Scds.  On 1999-2003 Windstar Vehicles With A Leaking Scds, Dealers Will Also Inspect The Abs Control Module Connector And Repair As Necessary.  Repairs Will Be Completed Free Of Charge.  The Safety Recall Began On October 27, 2009.  Owners May Contact Ford At 1-888-222-2751.",[]
1ftrw12w74kb13922,No,,,,,,,,[]
2FTRX17W7XCB17855,No,,,,,,,,[]
1FMCU9DG7CKA33613,No,,,,,,,,"[{'description': 'ELECTRONIC THROTTLE BODY EXTENDED COVERAGE', 'campaign': '13N03', 'date': '2014-01-10'}]"
1FMCU04131KE81240,No,,,,,,,,[]
1FABP26A0GF150929,No,,,,,,,,[]
1FMZU73K03ZA25445,No,,,,,,,,[]
1FTPX12525NA45508,No,,,,,,,,[]
1FM5K8AR4KGA13318,No,,,,,,,,[]
1FTRX17W73NB28164,No,,,,,,,,[]
1ZVHT82H775363627,No,,,,,,,,[]
1fahp3h25cl317268,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1fahp3h25cl317268,Yes,Recall Incomplete,Fuel Tank Deformation,18S32/18V735,22/10/18,"On Your Vehicle, The Pcm Software May Not Adequately Detect A Stuck-Open Canister Purge Valve (Cpv) Within The Fuel Vapor System. If The Cpv Malfunctions And Sticks Open, It Can Lead To Excessive Vacuum In The Fuel Vapor System, Potentially Deforming The Plastic Fuel Tank. This Can Cause The Following Symptoms: Illuminated Malfunction Indicator Lamp (Mil) With Certain Diagnostic Trouble Codes (Dtcs) Inaccurate Or Erratic Fuel Gauge Indication Inaccurate Distance To Empty (Dte) Engine Stall And/Or Other Drivability Concerns Related To Stuck Open Cpv","This May Result In An Engine Stall While Driving Without Warning Or Without The Ability To Restart, And Can Increase The Risk Of A Crash.","Parts And Software Are Now Available To Repair Your Vehicle. Ford Motor Company Has Authorized Your Dealer To Update Your Vehicle S Pcm Software, Check For Dtcs Or Other Evidence Of A Leaking Cpv, And Perform Any Additional Required Repairs As Required, Free Of Charge (Parts And Labor).If You Installed A Ford Performance Calibration On Your 2013-2018 Focus St, You Must Still Have This Safety Recall Performed. You May Contact Ford Performance To Obtain An Updated Ford Performance Calibration For Your Vehicle After This Recall Has Been Completed.Contact The Ford Performance Techline By Calling 800-367-3788 Or Online Https://Performanceparts.Ford.Com/Contact-Us","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FTRX12W96KB62068,No,,,,,,,,[]
1FAHP3H21CL209942,No,,,,,,,,"[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FMZU72K04UB71733,No,,,,,,,,[]
1ftrf12236na07921,No,,,,,,,,[]
1FMHK8F88CGA17323,No,,,,,,,,"[{'description': 'REAR TOE LINK INSPECTION REPLACEMENT', 'campaign': '21R02', 'date': '2022-11-04'}, {'description': 'EPAS STEERING EFFORTS', 'campaign': '15N01', 'date': '2015-06-30'}]"
1FTCR10AXLUB97774,No,,,,,,,,[]
1FTRF08L7XKA01973,No,,,,,,,,[]
1FTEW1CM1BKD10027,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1fafp40411f218243,No,,,,,,,,[]
1FTEW1EF4FFB49234,No,,,,,,,,"[{'description': 'POWER DOOR LOCK ACTUATOR FAILURE', 'campaign': '20M04', 'date': '2021-06-30'}, {'description': 'UNINTENDED TAILGATE OPENING', 'campaign': '21M06', 'date': '2022-05-20'}, {'description': 'DOOR LATCH FREEZING CONCERNS', 'campaign': '18N03', 'date': '2018-09-26'}]"
1FmJk1kt3mea41299,Yes,Recall Incomplete,Underhood Fires,22S36/22v346,17/05/22,"On Your Vehicle, An Underhood Fire May Occur Either When The Engine Is On, Or While The Vehicle Is Parked And The Engine Is Off.",An Underhood Vehicle Fire Can Increase The Risk Of Personal Injury And Damage To Surrounding Structures Or Property.,"You Should Park Your Vehicle Outside Away From Structures And Other Property Until This Repair Has Been Completed. Ford Motor Company Has Identified A Repair And Is Working Closely With Its Suppliers To Produce Parts. Parts Have Begun To Arrive From Our Supplier In Limited Quantities. Please Contact Your Dealer To Make An Appointment In Mid-August For The Repair. The Repair Is Free Of Charge Parts And Labor. For Your Convenience, Ford Motor Company Has Authorized Your Dealer To Provide You With Vehicle Pick-Up And Delivery, A Rental Vehicle Or Other Alternate Transportation  All For Free.",[]
1FMYU01191KB81891,No,,,,,,,,[]
1FM5K8HT8HGB11827,Yes,Recall Incomplete,Rear Toe Link Replacement,21S32/21v537,24/09/21,Vehicles Exposed To A Corrosive Environment Where Road Salt Is Used Extensively During Winter Months Could Experience A Seized Rear Suspension Toe Link Ball Joint Resulting In A Fractured Rear Suspension Toe Link.,"A Rear Toe Link Fracture May Cause A Loss Of Steering Control, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Both Rear Toe Links And Adjust Rear Toe Free Of Charge Parts And Labor.,"[{'description': 'CALIFORNIA EMISSION WARRANTY PARTS COVERAGE', 'campaign': '18L02', 'date': '2018-06-14'}, {'description': 'ROOF RACK TRIM DETACHMENT', 'campaign': '20N11', 'date': '2020-12-08'}, {'description': 'HIGH SPEED COOLING FAN MOTOR RELAY', 'campaign': '21N01', 'date': '2021-08-19'}]"
1FM5K8HT8HGB11827,Yes,Recall Incomplete,Rear Toe Link Ball Joint Inspection,20S62/20V675,30/10/20,Our Records Indicate That A Ford Safety Recall Was Previously Performed On Your Vehicle To Replace The Rear Suspension Toe Links.  Assessment Of Field Data Indicates That The Ball Joint Used To Attach The Rear Toe Link May Be Susceptible To Seizing In Certain High Corrosion Areas.  A Seized Toe Link Ball Joint Can Increase Bending Stresses In The Toe Link And Potentially Lead To A Fracture.,"Rear Toe Link Fracture While Driving Could Result In Unusual Vehicle Handling Characteristics, Or Difficulty Controlling The Vehicle And May Increase The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Inspect Both Rear Toe Link Ball Joints And, If Necessary, Replace The Rear Wheel Knuckle(S), And Adjust Rear Toe Free Of Charge (Parts And Labor).","[{'description': 'CALIFORNIA EMISSION WARRANTY PARTS COVERAGE', 'campaign': '18L02', 'date': '2018-06-14'}, {'description': 'ROOF RACK TRIM DETACHMENT', 'campaign': '20N11', 'date': '2020-12-08'}, {'description': 'HIGH SPEED COOLING FAN MOTOR RELAY', 'campaign': '21N01', 'date': '2021-08-19'}]"
1FTYR10C2XUB22631,No,,,,,,,,[]
1ZVBP8EM0C5217941,No,,,,,,,,[]
1FAHP33NX8W253915,No,,,,,,,,[]
1FAFP42X01F173724,No,,,,,,,,[]
1FMCU03G49KC79928,No,,,,,,,,"[{'description': 'ELECTRONIC THROTTLE BODY EXTENDED COVERAGE', 'campaign': '13N03', 'date': '2014-01-10'}]"
1ftcr15x1nta03378,No,,,,,,,,[]
1FMCU03709KC99870,No,,,,,,,,"[{'description': 'ELECTRONIC THROTTLE BODY EXTENDED COVERAGE', 'campaign': '13N03', 'date': '2014-01-10'}]"
1FMCU02Z28KA57356,No,,,,,,,,[]
1FMCU9DG1AKD20779,No,,,,,,,,[]
1FADP3F21FL277776,No,,,,,,,,"[{'description': 'TRANSMISSION CLUTCH SHUDDER -TRANSMISSION CLUTCH WARRANTY EXTENSION', 'campaign': '19N08', 'date': '2019-08-13'}]"
1FAHP3M27CL332487,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FAHP3M27CL332487,Yes,Recall Incomplete,Fuel Tank Deformation,19S22/19V515,05/07/19,"Our Records Indicate That You Previously Had Ford Safety Recall 18S32 Performed To Update The Software In Your Vehicle'S Powertrain Control Module Pcm.  However, The Correct Software Was Not Installed During Your Vehicle Repair. Ford Motor Company Wants To Ensure The Software In Your Vehicle Is Updated To The Correct Level.Without The Correct Software, The Pcm May Not Adequately Detect A Stuck-Open Canister Purge Valve Cpv Within The Fuel Vapor System. If The Cpv Malfunctions And Sticks Open, It Can Lead To Excessive Vacuum In The Fuel Vapor System, Allowing The Plastic Fuel Tank To Deform. This Can Cause The Following Symptoms Illuminated Malfunction Indicator Lamp Mil. Inaccurate Or Erratic Fuel Gauge Indication. Inaccurate Distance To Empty Dte. Engine Stall And/Or Other Drivability Concerns Related To Stuck Open Cpv","This May Result In An Engine Stall While Driving Without Warning Or Without The Ability To Restart, And Can Increase The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Update Your Vehicle'S Pcm Software, Check For Dtcs Or Other Evidence Of A Leaking Cpv, And Perform Any Additional Repairs As Required, Free Of Charge (Parts And Labor).If You Installed A Ford Performance Calibration On Your 2013-2018 Focus St, You Must Still Have This Safety Recall Performed. You May Contact Ford Performance To Obtain An Updated Ford Performance Calibration For Your Vehicle, After This Recall Has Been Completed. Contact The Ford Performance Techline By Calling 800-367-3788 Or Online Https://Performanceparts.Ford.Com/Contact-Us/","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1fadp3k22Gl231462,No,,,,,,,,"[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FTFW1CT0DFC20469,No,,,,,,,,"[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTEW1CP7FKF02391,Yes,Recall Incomplete,Carpet Shielding And Insulation Rework,18S27/18V568,31/08/18,"If Your Vehicle Is Involved In A Crash, Deployment Of The Front Seatbelt Pretensioners May Cause A Fire Inside The Driver Or Passenger Side B-Pillar Trim (The Outboard Floor Area Next To The Front Seats) In The Vehicle Passenger Compartment.",A Fire In The B-Pillar Area May Spread Within The Vehicle And Increase The Risk Of Injury.  You May Notice Odor And/Or Smoke As The Fire Develops.,"Ford Motor Company Has Authorized Your Dealer To Modify The B-Pillar Insulation, Remove Electrical Harness Tape Remnants, And Apply Shielding To The Carpet Insulation And Loadspace Trim Panel (On Regular Cab Vehicles Only) Free Of Charge (Parts And Labor).","[{'description': 'DOOR LATCH FREEZING CONCERNS', 'campaign': '18N03', 'date': '2018-09-26'}, {'description': 'POWER DOOR LOCK ACTUATOR FAILURE', 'campaign': '20M04', 'date': '2021-06-30'}]"
1ZVFT80N175358276,No,,,,,,,,[]
1FTPW12594KB97191,No,,,,,,,,[]
1FADP3F26GL401655,No,,,,,,,,[]
1FTEW1EG5HFB63249,Yes,Recall Incomplete,Carpet Shielding And Insulation Rework,18S27/18V568,31/08/18,"If Your Vehicle Is Involved In A Crash, Deployment Of The Front Seatbelt Pretensioners May Cause A Fire Inside The Driver Or Passenger Side B-Pillar Trim (The Outboard Floor Area Next To The Front Seats) In The Vehicle Passenger Compartment.",A Fire In The B-Pillar Area May Spread Within The Vehicle And Increase The Risk Of Injury.  You May Notice Odor And/Or Smoke As The Fire Develops.,"Ford Motor Company Has Authorized Your Dealer To Modify The B-Pillar Insulation, Remove Electrical Harness Tape Remnants, And Apply Shielding To The Carpet Insulation And Loadspace Trim Panel (On Regular Cab Vehicles Only) Free Of Charge (Parts And Labor).","[{'description': 'DOOR LATCH FREEZING CONCERNS', 'campaign': '18N03', 'date': '2018-09-26'}, {'description': 'UNINTENDED TAILGATE OPENING', 'campaign': '21M06', 'date': '2022-05-20'}, {'description': 'POWER DOOR LOCK ACTUATOR FAILURE', 'campaign': '20M04', 'date': '2021-06-30'}, {'description': 'CALIFORNIA EMISSION WARRANTY PARTS COVERAGE', 'campaign': '18M02', 'date': '2018-06-13'}, {'description': 'CALIFORNIA EMISSION WARRANTY PARTS COVERAGE', 'campaign': '18L02', 'date': '2018-06-14'}]"
1FAFP4448XF189908,No,,,,,,,,[]
1FMYU031X7KB59906,No,,,,,,,,[]
1ZVBP8EM0E5233415,No,,,,,,,,[]
1FM5K8AT9FGC66815,Yes,Recall Incomplete,Rear Toe Link Replacement,21S32/21v537,24/09/21,Vehicles Exposed To A Corrosive Environment Where Road Salt Is Used Extensively During Winter Months Could Experience A Seized Rear Suspension Toe Link Ball Joint Resulting In A Fractured Rear Suspension Toe Link.,"A Rear Toe Link Fracture May Cause A Loss Of Steering Control, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Both Rear Toe Links And Adjust Rear Toe Free Of Charge Parts And Labor.,[]
1FM5K8AT9FGC66815,Yes,Recall Incomplete,Rear Toe Link Ball Joint Inspection,20S62/20V675,30/10/20,Our Records Indicate That A Ford Safety Recall Was Previously Performed On Your Vehicle To Replace The Rear Suspension Toe Links.  Assessment Of Field Data Indicates That The Ball Joint Used To Attach The Rear Toe Link May Be Susceptible To Seizing In Certain High Corrosion Areas.  A Seized Toe Link Ball Joint Can Increase Bending Stresses In The Toe Link And Potentially Lead To A Fracture.,"Rear Toe Link Fracture While Driving Could Result In Unusual Vehicle Handling Characteristics, Or Difficulty Controlling The Vehicle And May Increase The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Inspect Both Rear Toe Link Ball Joints And, If Necessary, Replace The Rear Wheel Knuckle(S), And Adjust Rear Toe Free Of Charge (Parts And Labor).",[]
1FTFW1EF7BFB03735,Yes,Recall Incomplete,6R80 Sudden Transmission Downshift Powertrain Control Module Programming,19S07/19V075,12/02/19,"On Your Vehicle, An Intermittent Failure Of The Output Speed Sensor (Oss) In The Transmission May Result In An Unintended Downshift To First Gear.","An Unintended Downshift Into First Gear Can Cause An Abrupt Wheel Speed Reduction, Which Could Cause The Rear Tires To Slide Until The Vehicle Speed Slows Down. This Condition Could Result In A Loss Of Vehicle Control, Increasing The Risk Of A Crash.","Ford Motor Company Has Authorized Your Dealer To Reprogram The Powertrain Control Module With Software That Will Prevent An Unintended Downshift Into First Gear In The Event Of An Intermittent Oss Failure. This Service Will Be Performed Free Of Charge (Parts And Labor). F-150 3.5L, 5.0L, And 6.2L Vehicles: Ford Motor Company Is Working As Quickly As Possible To Develop The Software For This Repair. When The Software Become Available, Ford Motor Company Will Notify You Via Mail To Schedule A Service Appointment With Your Dealer For Repairs To Be Completed Free Of Charge (Parts And Labor). The Software Is Anticipated To Be Available By Late 2Nd Quarter, 2019.","[{'description': 'TRANSMISSION MOLDED LEADFRAME EXTENDED COVERAGE', 'campaign': '19N01', 'date': '2019-04-04'}]"
1FTFW1ET8EKF74780,No,,,,,,,,[]
1FTYR44U14PB05544,Yes,Recall Incomplete,Driver And Passenger Airbag Inflator Replacement Parts Are Readily Available,17S42/17V788,13/12/17,The Driver And Passenger Airbag Inflators In Your Vehicle May Explode In The Event Of A Crash That Causes Deployment Of The Frontal Airbags.,"If An Inflator Explodes, Sharp Metal Fragments Could Strike The Driver Or Other Occupants, Causing Serious Injury Or Death.",Parts Are Now Available To Repair Your Vehicle. Dealers Will Replace The Driver And Passenger Airbag Inflators Free Of Charge.,[]
1FTEX15F7EKA01002,No,,,,,,,,[]
1FTEW1E51JFA26555,No,,,,,,,,"[{'description': 'POWER DOOR LOCK ACTUATOR FAILURE', 'campaign': '20M04', 'date': '2021-06-30'}, {'description': 'DOOR LATCH FREEZING CONCERNS', 'campaign': '18N03', 'date': '2018-09-26'}]"
1FMYU03181KC21309,No,,,,,,,,[]
1FTPW14524KD42956,No,,,,,,,,[]
1FADP3L9XJL274305,No,,,,,,,,[]
1FMCU0GX7GUA18322,Yes,Recall Incomplete,Transmission Shifter Cable Bushing,22S43/#22V413,10/06/22,"On Your Vehicle, It May Be Possible The Transmission Shifter Cable Bushing Is Damaged Or Missing.","A Damaged Or Missing Bushing Could Prevent The Shifter From Moving The Transmission Into The Intended Gear Position And Cause The Vehicle To Move In An Unexpected Direction.  The Transmission May Not Be In The Park Position, Even Though The Shifter Position Indicates That The Vehicle Was Shifted To Park. Exiting A Vehicle Without The Transmission In The Park Position And Without The Application Of The Parking Brake May Allow The Vehicle To Roll, Increasing The Risk Of Injury Or Crash.",Parts Are Now Available To Repair Your Vehicle. Ford Motor Company Has Authorized Your Dealer To Replace The Shifter Cable Bushing And Protective Cap Free Of Charge Parts And Labor.,[]
1FM5K7D8XDGB27016,Yes,Recall Incomplete,Rear Toe Link Replacement,21S32/21v537,24/09/21,Vehicles Exposed To A Corrosive Environment Where Road Salt Is Used Extensively During Winter Months Could Experience A Seized Rear Suspension Toe Link Ball Joint Resulting In A Fractured Rear Suspension Toe Link.,"A Rear Toe Link Fracture May Cause A Loss Of Steering Control, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Both Rear Toe Links And Adjust Rear Toe Free Of Charge Parts And Labor.,"[{'description': 'DOOR LATCH', 'campaign': '19N09', 'date': '2019-12-12'}]"
1FM5K7D8XDGB27016,Yes,Recall Incomplete,Rear Suspension Toe Link Replacement,19S17/19V435,10/06/19,"On Your Vehicle, Frequent Full Articulation Of The Rear Suspension May Increase The Stress On The Rear Suspension Toe Link, Which May, Over Time, Result In A Toe Link Fracture.","Rear Toe Link Fracture While Driving Could Result In A Noise, A Sudden Change In Vehicle Handling, Or Difficulty Controlling The Vehicle Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace Your Rear Suspension Toe Links Free Of Charge Parts And Labor.,"[{'description': 'DOOR LATCH', 'campaign': '19N09', 'date': '2019-12-12'}]"
1FMZU32E1XZA83428,No,,,,,,,,[]
1FABP44E8KF236094,No,,,,,,,,[]
1fmpu18l6yla60152,No,,,,,,,,[]
1FMJU1HT9MEA70257,No,,,,,,,,[]
1zvft80n365239188,Yes,Recall Incomplete,Passenger Airbag,08C02/08V082000,25/02/08,"Ford Is Recalling 434,593 My 2008 Mustang Vehicles For Failing To Comply With One Of The Neck Injury Requirements Of Federal Motor Vehicle Safety Standard No. 208, ""Occupant Crash Protection,"" For An Unbelted 5Th Percentile Female Sitting In The Passenger Seat While It Is In The Full Forward Position.","During An Air Bag Deployment, If A Small Female In The Front Passenger Seat Is Not Wearing The Safety Belt, And Has The Seat In The Full Forward Position, There May Be An Increased Potential For A Neck Injury.","Dealers Will Reprogram The Restraint Control Module Free Of Charge.  The Recall Began On March 3, 2008.  Owners May Contact Ford At 1-866-436-7332 Or Through Email To Www.Ownerconnection.Com.",[]
1FTPX14577FA66784,No,,,,,,,,[]
