vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs,raw_json
1g1ze5stxhf275664,Invalid Vin,,,,,,,,,
2GNALCEK5E6311498,Yes,incomplete,Windshield Wiper Failure,22V165,2022-03-17,"General Motors Has Decided That A Defect, Which Relates To Motor Vehicle Safety, Exists In Certain 2014-2015 Model Year Chevrolet Equinox And Gmc Terrain Vehicles.  The Ball Joints In The Windshield Wiper Modules Of These Vehicles May Experience High Corrosion And Wear That Could Result In The Separation Of One Or More Ball Joints From Their Sockets During Wiper Operation.  If A Ball Joint Were To Separate, One Or Both Of The Windshield Wipers Could Become Inoperative.","If One Or Both Of The Windshield Wipers Become Inoperative, It Could Limit The Driver’S Visibility Under Certain Operating Conditions, Which May Increase The Risk Of A Crash.",Dealers Will Inspect The Wiper Module And Repair Or Replace As Necessary.,,
2GNALCEK5E6311498,Yes,incomplete,Wiper Transmission Arm Linkage Failure,,,"Some 2010-2017 Model Year Equinox Or Terrain Vehicles May Have A Condition Where A Link Ball Socket In The Front Wiper Transmission May Separate. If This Were To Occur, The Driver Would Experience A Sudden Loss Of Front Wiper Function.
	
This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Front Wiper Module With The Latest Version With Improved Sockets And A New Water Shield.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSCAKC7FR138417,Yes,complete,Frontal Airbag And Pretensioner Non Deploy,16V651,2016-09-08,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014-2017 Model Year Chevrolet Silverado Ld, Gmc Sierra Ld, Buick Encore, Chevrolet Trax, Chevrolet Caprice Police, And Chevrolet Corvette Vehicles, 2014-2016 Model Year Buick Lacrosse, Chevrolet Spark Ev, And Chevrolet Ss Vehicles And 2015-2017 Model Year Chevrolet Silverado Hd, Gmc Sierra Hd, Gmc Yukon, Gmc Yukon Xl, Cadillac Escalade Cadillac Escalade Esv, Chevrolet Suburban, And Chevrolet Tahoe Vehicles.  The Sensing And Diagnostic Module (Sdm) In These Vehicles, Which Controls Airbag And Pretensioner Deployment, Contains A Software Defect Which May Prevent The Deployment Of Frontal Airbags And Pretensioners In Certain Rare Circumstances. If The Frontal Airbags And Seatbelt Pretensioners Do Not Deploy When Required, There Is An Increased Risk Of Injury To Occupants In A Crash.","If The Frontal Airbags And Seatbelt Pretensioners Do Not Deploy When Required, There Is An Increased Risk Of Injury To Occupants In A Crash.","Reprogram The Sdm With New Software That Eliminates This Defect.  In Vehicles With Any Previous Deployment Events Recorded In The Sdm, Dealers Will Replace The Existing Sdm With A New Sdm Prior To Programming And Setup.  Note: Before Replacing The Sdm, Any Airbag Related Diagnostic Trouble Codes Should Be Identified, Diagnosed, And Corrected Prior To Sdm Replacement.  Faulty Sir Components In Need Of Replacement Are Unrelated To This Safety Recall And Are Not Covered Under The Terms Of This Safety Recall.",,
1GNSCAKC7FR138417,Yes,complete,Eps Loss Of Steering Assist,18V586,2018-09-07,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2015 Model Year Chevrolet Silverado Ld, Suburban, And Tahoe Vehicles; Gmc Sierra Ld And Yukon Vehicles; Cadillac Escalade Vehicles.  These Vehicles May Experience A Temporary Loss Of Eps Assist Followed By A Sudden Return Of Eps Assist, Particularly During Low-Speed Turning Maneuvers.  The Loss And Sudden Return Of Eps Assist Typically Happens Within A 1 Second Period And Is Caused By An Electrical/Software Issue.","If Eps Assist Is Lost And Suddenly Returned, The Driver Could Have Difficulty Steering The Vehicle, Especially At Low Speeds, Increasing The Risk Of A Crash.",Dealers Will Perform A Reflash Of The Eps Module Software Free Of Charge.,,
1GNSCAKC7FR138417,Yes,complete,Transmission Oil Cooler Connection,14V152,2014-03-31,"General Motors Is Recalling Certain Model Year 2014 Chevrolet Silverado Light Duty Regular Cab, Double Cab, And Crew Cab 1500 Series And Model Year 2015 Suburban And Tahoe; Gmc Model Year 2014 Sierra Regular Cab, Double Cab, And Crew Cab 1500 Series And Model Year 2015 Yukon And Yukon Xl Vehicles Equipped With A 6-Speed Automatic Transmission (Feature Code Myc).  The Subject Vehicles May Have A Transmission Oil Cooler Line That Is Not Securely Seated In The Fitting.","If The Line Is Not Securely Seated And Transmission Oil Leaks From The Fitting, The Oil Could Contact A Hot Surface And Cause A Vehicle Fire.","Dealers Will Inspect The Transmission Oil Cooler Line Connection And Repair The Vehicles, As Needed, Free Of Charge.",,
1GNSCAKC7FR138417,Yes,complete,Base Radio Lock Up,14V301,2014-06-05,"General Motors Has Decided That Certain 2014 My Chevrolet Silverado Ld, 2015 My Chevrolet Silverado Hd, Tahoe, Suburban And 2014 My Gmc Sierra Ld, 2015 My Gmc Sierra Hd Vehicles Equipped With A Base Radio And An Internal Amplifier (Io3 & (Uq3/Uq5)) May Fail To Conform To Federal Motor Vehicle Safety Standards 114 Theft Protection And Rollaway Protection, And 208 Occupant Crash Protection. On These Vehicles, The Radio May Become Inoperative, Causing A No-Chime Condition. There Would Not Be An Audible Warning If The Key Is In The Ignition And The Driver'S Door Is Opened, And There Would Not Be A Seat Belt Audible Warning If A Front Outboard Seat Belt Is Not Buckled. Radio And Chime Functions Are Not Restored Until The Battery Is Disconnected And Reconnected.","Loss Of The Seat Belt Audible Warning May Increase The Likelihood That A Front Outboard Occupant Is Unbelted, Increasing The Risk Of Injury In A Crash. Loss Of An Audible Warning When A Key Is Left In The Ignition May Increase The Risk Of Vehicle Theft.",Dealers Are To Reflash The Base Radio With Updated Software. This Service Will Be Performed For You At No Charge.,,
1GNSCAKC7FR138417,Yes,incomplete,Brake Assist Decreased Due To Vacuum Loss,,,"Some 2014 – 2018 Model Year Gm Vehicles May Have A Condition Where Customers May Experience Increased Brake Pedal Effort, Hard Brake Pedal, And/Or Potentially Increased Stopping Distance. The Condition Is More Prevalent At Low Speed When Softly Applying The Brakes. The Engine Mounted Mechanical Vacuum Pump Output May Decrease Over Time Decreasing The Amount Of Vacuum/Power Brake Assist. Failure To Follow Recommended Oil Change Intervals Could Contribute To This Condition. The Driver’S Information Center, (Dic) “Service Brake Assist” Alert Will Activate 2-5 Minutes After The Vacuum Level Drops, And A Diagnostic Trouble Code, (Dtc) Will Also Be Set. Even Where This Condition Occurs, The Hydraulic Brake System Remains Functional But May Require Additional Pedal Force.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Vacuum Pump And Vacuum Pump Belt.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSCAKC7FR138417,Yes,incomplete,Combi-Cooler Air Conditioner Refrigerant Leak,,,"Some 2015-2017 Model Year Cadillac Escalade, Escalade Esv, Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl Vehicles, May Have A Condition Where Thermal Cycling On The Combination Transmission Fluid/Oil And Ac Condenser Cooler Creates A Crack That May Allow Refrigerant To Escape. This Condition Consequently May Deactivate The Ac System Which May Cause Potential Customer Annoyance.

This Special Coverage Covers The Condition Described Above For A Period Of 5 Years Or 60,000 Miles (100,000 Km) For Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl And 6 Years Or 72,000 Miles (116,000 Km) For Cadillac Escalade And Escalade Esv, Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Inspect The Air Conditioning Condenser And Replace If Necessary.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSCAKC7FR138417,Yes,complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014-2018 Model Year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, Gmc Sierra, And Gmc Yukon Vehicles. In Some Circumstances, These Vehicle May Have A Condition In Which The Engine-Mounted Mechanical Vacuum Pump Output May Decrease Over Time, Decreasing The Amount Of Vacuum/Power Brake Assist.",.,Dealers Will Reprogram The Electronic Brake Control Module With A New Calibration That Will Improve How The System Utilizes The Hydraulic Brake Boost Assist Function When Vacuum Assist Is Depleted.,,
1Gnek13t4yj202154,Invalid Vin,,,,,,,,,
1G1AY0786E5110305,Invalid Vin,,,,,,,,,
1GNSCBE08ER216404,Yes,incomplete,Front Passenger Airbag Takata Inflator - Priority Group 10,21V054,2021-02-05,"Tk Holdings Inc. (“Takata”) Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Passenger-Side Frontal Airbag Inflators Installed As Original Equipment In Certain 2007 To 2014 Model Year Cadillac Escalade, Escalade Esv, And Escalade Ext Vehicles; Certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, And Tahoe Vehicles; And Certain Gmc Sierra 1500, Sierra 2500/3500, Yukon, And Yukon Xl Vehicles.  The Determination Was Made That The Propellant In These Inflators May Degrade After Long-Term Exposure To High Humidity And Temperature Cycling, Which Could Cause The Inflator To Rupture During A Deployment.","An Inﬂator Rupture May Cause Metal Fragments To Pass Through The Airbag And Into The Vehicle Interior At High Speed, Which May Result In Injury Or Death To Vehicle Occupants.",Dealers Will Replace The Passenger-Side Frontal Airbag Inflator.,,
1G1ZD5STXJF256198,Yes,incomplete,Transmission Accumulator Bolts Missing,20V668,2020-10-29,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Affected Vehicles Identified Above.  These Vehicles Are Equipped With A Start-Stop Accumulator That May Have Missing Bolts.  Missing Bolts On The Start-Stop Accumulator Endcap Could Result In A Transmission Oil Leak And May Progress To A Loss Of Propulsion, Which Could Increase The Risk Of A Crash.  A Transmission Oil Leak In The Presence Of An Ignition Source May Increase The Risk Of Fire.","Missing Bolts On The Start-Stop Accumulator Endcap Could Result In A Transmission Oil Leak And May Progress To A Loss Of Propulsion, Which Could Increase The Risk Of A Crash.  A Transmission Oil Leak In The Presence Of An Ignition Source May Increase The Risk Of Fire.",Dealers Will Inspect The Start-Stop Transmission Accumulator And Replace It If Any Bolts Are Missing.,,
1G1ZD5STXJF256198,Yes,complete,Ecm Malfunction,19V642,2019-09-06,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2018 Model Year Chevrolet Malibu Vehicles Equipped With 1.5L Turbo Engines. Under Certain Conditions, An Error In The Vehicles’ Engine Control Module (Ecm) Software Can Cause Data Used By The Ecm To Become Corrupted. When This Occurs, The Ecm May Send A Signal Disabling The Engine’S Fuel Injectors. If The Fuel Injectors Are Disabled, The Engine May Not Start And, In Rare Cases, The Engine May Stall After It Is Started.","In Rare Cases This Condition Can Cause The Engine To Stall At Speed And Without Warning, Increasing The Risk Of A Crash.",Dealers Will Reprogram The Ecm Software To Correct The Error.,,
1G1ZD5STXJF256198,Yes,incomplete,Loss Of Continuity Within Accelerator Pedal Position Sensor Circuit,,,"Some 2017-2018 Model Year Buick Lacrosse, 2018 Model Year Buick Regal, 2016-2018 Model Year Chevrolet Malibu Vehicles May Have A Condition That Affects The Electrical Connection To One Of The Vehicle’S Accelerator Pedal Position Sensors. If This Electrical Connection Is Interrupted, The Accelerator Pedal Will Still Function, But The Vehicle Will Enter A Reduced Engine Power Mode Where The Vehicle’S Maximum Acceleration And Torque Are Reduced. Additionally, The Malfunction Indicator Light (Check Engine Light) Will Illuminate, The ‘Engine Power Is Reduced’ Message Will Display, And A Diagnostic Trouble Code For Accelerator Pedal Position Sensor Correlation (P2138) Will Be Set When This Condition Occurs.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Accelerator Pedal And Position Sensor Assembly As Necessary And Repair The Engine Wire Harness (Malibu Lfv Only). The Repairs Will Be Made At No Charge To The Customer.,,
1GNEC16Z44J178235,Yes,complete,Second Row Center Safety Belt,05V163,2005-04-22,"On Certain Crew Cab Pickup Trucks And Sport Utility Vehicles, The 2Nd Row Center Occupant Seat Belt Routing May Make It Difficult To Position The Lap Portion Of The Safety Belt Low Around The Hips Of Occupants, Especially Smaller Occupants, Seated In This Position.   Appropriate Use Of A Child Seat Or Booster Seat, As Recommended For Small Children, Does Improve The Fit Condition For This User Group.  In Addition To Instructions On Proper Infant And Young Child Restraint (With Child Seats Or Boosters), Special Verbiage For Restraining Older Child Is Included In The Owner'S Manual.  Also, The Suggested Seat Belt Fit/Routing For Adults, Irrespective Of Seating Position, Is Described In The Owner'S Manual Text.","A Lap Portion Of The Seat Belt Routing That Is Not Low And Snug On The Hips Can Allow The Lap Belt To Ride Up On An Occupant'S Abdomen Instead Of Fitting Low Around Their Hipbones, And Therefore, Can Expose Them To More Risk Of Abdominal And Internal Organ Injury.","Dealers Will Cut Open The Guide Loop, Remove A Portion Of The Loop, And Then The Remaining Two Sides Should Be Folded Over And Secured With A Retainer Free Of Charge.",,
2GNFLNEK3C6283859,Yes,incomplete,Power Steering Stick-Slip,,,"Some 2012-2014 Model Year Buick Verano, 2011-2014 Model Year Chevrolet Cruze And Volt, 2010-2014 Model Year Chevrolet Equinox And Gmc Terrain, And 2013-2014 Model Year Chevrolet Malibu Vehicles May Have Increased Friction In The Steering System. This Could Cause The Steering Wheel To Stick In The Straight-Ahead Position After Driving Long Distances On A Straight Highway. The Steering Wheel Can Be Turned But It May Require Increased Effort.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,,,
2GNFLNEK3C6283859,Yes,incomplete,Special Coverage 16118 - Expired,,,"Some 2012 Model Year Chevrolet Equinox And Gmc Terrain Vehicles, Equipped With A 2.4L Engine, May Exhibit Excessive Engine Oil Consumption (Less Than 2,000 Miles [3,200 Km] Per Quart [0.946 L] Of Engine Oil), Due To Piston Ring Wear. If This Condition Is Present, An Audible Rattle Or Knock From The Engine May Be Heard.  The Engine Oil Pressure Telltale May Illuminate On The Instrument Panel Or The Following Message May Appear In The Driver Information Center: “Oil Pressure Low – Stop Engine”.",,Dealers Are To Perform An Oil Consumption Test And Install New Pistons And Piston Rings.  The Repairs Will Be Made At No Charge To The Customer.,,
2GNFLNEK3C6283859,Yes,complete,Oil Life Monitor Update,,,,,,,
2GNFLNEK3C6283859,Yes,incomplete,Wiper Transmission Arm Linkage Failure – Usa Only,,,"On Certain 2010-2012 Model Year Chevrolet Equinox And Gmc Terrain Vehicles, The Ball Joints In The Front Windshield Wiper Modules Of These Vehicles May Experience High Corrosion And Wear That Could Result In The Separation Of One Or More Ball Joints From Their Sockets During Wiper Operation.  If A Ball Joint Were To Separate, One Or Both Of The Windshield Wipers Could Become Inoperative.",,Dealers Are To Inspect The Front Wiper Assembly And Replace The Wiper Linkages Or Module As Necessary. The Repairs Will Be Made At No Charge To The Customer.,,
2GNFLNEK3C6283859,Yes,complete,Wiper Transmission Arm Linkage Failure,,,"Some 2010-2017 Model Year Equinox Or Terrain Vehicles May Have A Condition Where A Link Ball Socket In The Front Wiper Transmission May Separate. If This Were To Occur, The Driver Would Experience A Sudden Loss Of Front Wiper Function.
	
This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Front Wiper Module With The Latest Version With Improved Sockets And A New Water Shield.  The Repairs Will Be Made At No Charge To The Customer.,,
1gnec13t35r255485,Invalid Vin,,,,,,,,,
3gnaxlex7ls542188,Invalid Vin,,,,,,,,,
2GNAXJEV4K6224030,No,,,,,,,,,
1G1ZB5STXJF223000,Yes,incomplete,Loss Of Continuity Within Accelerator Pedal Position Sensor Circuit,,,"Some 2017-2018 Model Year Buick Lacrosse, 2018 Model Year Buick Regal, 2016-2018 Model Year Chevrolet Malibu Vehicles May Have A Condition That Affects The Electrical Connection To One Of The Vehicle’S Accelerator Pedal Position Sensors. If This Electrical Connection Is Interrupted, The Accelerator Pedal Will Still Function, But The Vehicle Will Enter A Reduced Engine Power Mode Where The Vehicle’S Maximum Acceleration And Torque Are Reduced. Additionally, The Malfunction Indicator Light (Check Engine Light) Will Illuminate, The ‘Engine Power Is Reduced’ Message Will Display, And A Diagnostic Trouble Code For Accelerator Pedal Position Sensor Correlation (P2138) Will Be Set When This Condition Occurs.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Accelerator Pedal And Position Sensor Assembly As Necessary And Repair The Engine Wire Harness (Malibu Lfv Only). The Repairs Will Be Made At No Charge To The Customer.,,
1G1ZB5STXJF223000,Yes,complete,Ecm Malfunction,19V642,2019-09-06,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2018 Model Year Chevrolet Malibu Vehicles Equipped With 1.5L Turbo Engines. Under Certain Conditions, An Error In The Vehicles’ Engine Control Module (Ecm) Software Can Cause Data Used By The Ecm To Become Corrupted. When This Occurs, The Ecm May Send A Signal Disabling The Engine’S Fuel Injectors. If The Fuel Injectors Are Disabled, The Engine May Not Start And, In Rare Cases, The Engine May Stall After It Is Started.","In Rare Cases This Condition Can Cause The Engine To Stall At Speed And Without Warning, Increasing The Risk Of A Crash.",Dealers Will Reprogram The Ecm Software To Correct The Error.,,
1G1ZB5STXJF223000,Yes,complete,Trapped Hydrogen Gas Rear Brakes,18V576,2018-08-30,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2018–2019 Model Year Gmc Terrain Vehicles; 2018 Model Year Chevrolet Malibu Vehicles; 2018–2019 Model Year Chevrolet Cruze, Equinox, Volt, Impala, And Bolt Vehicles; 2018–2019 Model Year Buick Lacrosse And Regal Vehicles; And 2018–2019 Model Year Cadillac Xts Vehicles.  In A Small Number Of These Vehicles, The Rear-Brake Caliper Pistons May Contain Trapped Hydrogen Gas That Could Be Released Into The Vehicle’S Brake System.","If Gas Is Present In The Brake System, Rear-Brake Performance May Be Reduced, Increasing The Risk Of A Crash.",Dealers Will “Bleed” The Brake System To Remove Any Gas From The Rear Brake System Free Of Charge.,,
1G1ZB5STXJF223000,Yes,complete,Transmission Accumulator Bolts Missing,20V668,2020-10-29,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Affected Vehicles Identified Above.  These Vehicles Are Equipped With A Start-Stop Accumulator That May Have Missing Bolts.  Missing Bolts On The Start-Stop Accumulator Endcap Could Result In A Transmission Oil Leak And May Progress To A Loss Of Propulsion, Which Could Increase The Risk Of A Crash.  A Transmission Oil Leak In The Presence Of An Ignition Source May Increase The Risk Of Fire.","Missing Bolts On The Start-Stop Accumulator Endcap Could Result In A Transmission Oil Leak And May Progress To A Loss Of Propulsion, Which Could Increase The Risk Of A Crash.  A Transmission Oil Leak In The Presence Of An Ignition Source May Increase The Risk Of Fire.",Dealers Will Inspect The Start-Stop Transmission Accumulator And Replace It If Any Bolts Are Missing.,,
1g1yb2d47m5111278,Invalid Vin,,,,,,,,,
KL8CB6SA1LC408681,No,,,,,,,,,
1g1ya2dw8d5109267,Invalid Vin,,,,,,,,,
1gnalaek4fz141094,Invalid Vin,,,,,,,,,
1GNEK13T2YJ184947,Yes,complete,Rearward Folding Head Restraints Pinch Point,02V253,2002-09-17,"Certain Sport Utility Vehicles Equipped With Rearward Folding Head Restraints On The Second Row Seats, Two Potential Pinch Points Exist On Each Of The Folding Head Restraints When The Restraints Are Folded Rearward As The Seatback Is Folded Down.","If A Person Were To Insert Their Finger(S) Into The Pinch Point When The Head Restraint Folds, It Could Trap And Pinch The Finger(S) Causing Injury.",Dealers Will Install Protective Covers Over The Pinch Points Free Of Charge.,,
1GNSKBKC1HR263697,Yes,complete,Unexpected Pull To One Side,19V761,2019-10-24,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014 – 2018 Model Year Chevrolet Silverado And Gmc Sierra 1500 Vehicles Equipped With Four-Wheel Drive, A 5.3-Liter Engine, And A 3.08-Ratio Rear Axle, And Certain 2015 – 2020 Model Year Chevrolet Suburban, Chevrolet Tahoe, And Gmc Yukon Equipped With Four-Wheel Drive, A 5.3-Liter Engine, And A 3.08-Ratio Rear Axle.  If A Wheel-Speed Sensor Fails In These Vehicles, A Software Error In The Vehicle’S Electronic-Brake Control Module (Ebcm) Can Cause The Vehicle’S Driveline-Protection System To Activate When (I) The Vehicle’S Electronic Transfer Case Is Set To Four-Wheel Drive Or Automatic Mode, And (Ii)  The Vehicle Is Driven Between The Speeds Of 41 And 60 Mph.  If The Driveline-Protection System Activates, The Driver Will Experience Unintended Braking On The Wheel On The Opposite Side Of The Failed Sensor.","If A Wheel-Speed Sensor Fails, The Vehicle’S Electronic Stability Control (Esc) And Anti-Lock Braking System (Abs) Malfunction Indicator Warning Lamps Will Illuminate And The Vehicle’S Driver Information Center Will Display A “Service Stabilitrak” Message.  If These Vehicles Are Driven In This Condition While In Four-Wheel Drive Or Automatic Mode At 41-60 Mph, Unintended Braking On One Wheel Can Occur, Causing The Vehicle To Pull To One Side, Increasing The Risk Of A Crash.  Owners Can Eliminate This Risk By Operating The Vehicle In Two-Wheel-Drive Mode Until The Recall Repair Is Performed.",Dealers Will Reprogram The Electronic Brake Control Module (Ebcm).,,
1GNSKBKC1HR263697,Yes,complete,Increased Brake Pedal Effort,19V645,2019-09-06,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In Certain 2014-2018 Model Year Cadillac Escalade, Chevrolet Silverado, Chevrolet Suburban, Chevrolet Tahoe, Gmc Sierra, And Gmc Yukon Vehicles. In Some Circumstances, These Vehicle May Have A Condition In Which The Engine-Mounted Mechanical Vacuum Pump Output May Decrease Over Time, Decreasing The Amount Of Vacuum/Power Brake Assist.",.,Dealers Will Reprogram The Electronic Brake Control Module With A New Calibration That Will Improve How The System Utilizes The Hydraulic Brake Boost Assist Function When Vacuum Assist Is Depleted.,,
1GNSKBKC1HR263697,Yes,incomplete,Brake Assist Decreased Due To Vacuum Loss,,,"Some 2014 – 2018 Model Year Gm Vehicles May Have A Condition Where Customers May Experience Increased Brake Pedal Effort, Hard Brake Pedal, And/Or Potentially Increased Stopping Distance. The Condition Is More Prevalent At Low Speed When Softly Applying The Brakes. The Engine Mounted Mechanical Vacuum Pump Output May Decrease Over Time Decreasing The Amount Of Vacuum/Power Brake Assist. Failure To Follow Recommended Oil Change Intervals Could Contribute To This Condition. The Driver’S Information Center, (Dic) “Service Brake Assist” Alert Will Activate 2-5 Minutes After The Vacuum Level Drops, And A Diagnostic Trouble Code, (Dtc) Will Also Be Set. Even Where This Condition Occurs, The Hydraulic Brake System Remains Functional But May Require Additional Pedal Force.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Vacuum Pump And Vacuum Pump Belt.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSKBKC1HR263697,Yes,incomplete,Combi-Cooler Air Conditioner Refrigerant Leak,,,"Some 2015-2017 Model Year Cadillac Escalade, Escalade Esv, Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl Vehicles, May Have A Condition Where Thermal Cycling On The Combination Transmission Fluid/Oil And Ac Condenser Cooler Creates A Crack That May Allow Refrigerant To Escape. This Condition Consequently May Deactivate The Ac System Which May Cause Potential Customer Annoyance.

This Special Coverage Covers The Condition Described Above For A Period Of 5 Years Or 60,000 Miles (100,000 Km) For Chevrolet Suburban, Tahoe, Gmc Yukon And Yukon Xl And 6 Years Or 72,000 Miles (116,000 Km) For Cadillac Escalade And Escalade Esv, Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Inspect The Air Conditioning Condenser And Replace If Necessary.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNSCAE02CR284267,Yes,incomplete,Front Passenger Airbag Takata Inflator - Priority Group 7,21V051,2021-02-05,"Tk Holdings Inc. (“Takata”) Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Passenger-Side Frontal Airbag Inflators Installed As Original Equipment In Certain 2007 To 2014 Model Year Cadillac Escalade, Escalade Esv, And Escalade Ext Vehicles; Certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, And Tahoe Vehicles; And Certain Gmc Sierra 1500, Sierra 2500/3500, Yukon, And Yukon Xl Vehicles.  The Determination Was Made That The Propellant In These Inflators May Degrade After Long-Term Exposure To High Humidity And Temperature Cycling, Which Could Cause The Inflator To Rupture During A Deployment.","An Inﬂator Rupture May Cause Metal Fragments To Pass Through The Airbag And Into The Vehicle Interior At High Speed, Which May Result In Injury Or Death To Vehicle Occupants.",Dealers Will Replace The Passenger-Side Frontal Airbag Inflator.,,
1G1ZB5E19BF249776,Yes,incomplete,Brake Lamp Malfunction,,,"Some 2004-2012 Model Year Chevrolet Malibu, 2004-2007 Model Year Chevrolet Malibu Maxx, 2005-2010 Model Year Pontiac G6, And 2007-2009 Model Year Saturn Aura Vehicles May Have A Condition Where Increased Resistance In The Body Control Module (Bcm) Connection System Can Result In Voltage Fluctuations Or Intermittency In The Brake Apply Sensor (Bas) Circuit That Can Cause Brake Lamp Malfunction. Specifically, The Brake Lamps May Either Illuminate Without The Brake Pedal Applied, Or Turn Off When The Pedal Is Applied.

This Special Coverage Covers The Condition Described Above For A Period Of 15 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.","The Brake Lamps May Either Illuminate Without The Brake Pedal Applied, Or Turn Off When The Pedal Is Applied.","Dealers Are To Attach The Wiring Harness To The Bcm With A Spacer, Apply Dielectric Lubricant To The Bcm X2 (C2) Connector And The Bas Harness Connector, And Relearn The Brake Pedal Home Position.  The Repairs Will Be Made At No Charge To The Customer.",,
1G1ZB5E19BF249776,Yes,incomplete,Loss Of Electric Power Steering Assist,,,"On Some 2007-2012 Model Year Chevrolet Malibu, 2007-2010 Model Year Pontiac G6, Or 2007-2010 Model Year Saturn Aura Vehicles Equipped With Electric Power Steering Assist (Eps), The Steering Column Torque Sensor Or The Eps Motor/Controller May Cause The Vehicle To Suddenly Lose Eps. If The Vehicle Loses Eps, The Vehicle’S Driver Information Center Will Display A Warning Message And A Warning Chime Will Sound. The Vehicle Will Revert To A Manual Steering Mode, Which Requires Greater Driver Effort To Operate At Low Vehicle Speeds.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,,,
